SID,Year,ASJC,Description,SJR,Quartile,Percentile
12211,2023,2732,Orthopedics and Sports Medicine,1.868,1,97
12212,2023,2706,Critical Care and Intensive Care Medicine,1.064,1,84
12213,2023,1701,Computer Science (miscellaneous),0.537,2,66
12214,2023,2711,Emergency Medicine,0.433,2,62
12216,2023,1105,"Ecology, Evolution, Behavior and Systematics",4.061,1,98
12216,2023,1311,Genetics,4.061,1,95
12216,2023,1312,Molecular Biology,4.061,1,94
12217,2023,1307,Cell Biology,1.138,2,62
12217,2023,1312,Molecular Biology,1.138,2,66
12217,2023,2701,Medicine (miscellaneous),1.138,1,84
12218,2023,2728,Neurology (clinical),0.886,2,68
12218,2023,2742,Rehabilitation,0.886,1,89
12218,2023,3612,"Physical Therapy, Sports Therapy and Rehabilitation",0.886,1,83
12219,2023,2210,Mechanical Engineering,0.872,1,82
12219,2023,2211,Mechanics of Materials,0.872,1,80
12219,2023,2503,Ceramics and Composites,0.872,1,77
12219,2023,2505,Materials Chemistry,0.872,1,78
12219,2023,2506,Metals and Alloys,0.872,1,84
12220,2023,1303,Biochemistry,0.991,2,73
12220,2023,1307,Cell Biology,0.991,2,55
12220,2023,1314,Physiology,0.991,2,72
12221,2023,2207,Control and Systems Engineering,0.677,2,65
12221,2023,2208,Electrical and Electronic Engineering,0.677,2,69
12223,2023,3312,Sociology and Political Science,0.317,2,56
12225,2023,2209,Industrial and Manufacturing Engineering,0.291,3,44
12225,2023,3104,Condensed Matter Physics,0.291,3,31
12225,2023,3105,Instrumentation,0.291,3,34
12225,2023,3107,"Atomic and Molecular Physics, and Optics",0.291,3,31
12227,2023,2208,Electrical and Electronic Engineering,0.17,4,15
12227,2023,2209,Industrial and Manufacturing Engineering,0.17,4,23
12227,2023,3107,"Atomic and Molecular Physics, and Optics",0.17,4,8
12229,2023,1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",1.396,1,84
12229,2023,1602,Analytical Chemistry,1.396,1,92
12229,2023,1607,Spectroscopy,1.396,1,96
12229,2023,3104,Condensed Matter Physics,1.396,1,91
12234,2023,2732,Orthopedics and Sports Medicine,0.133,4,6
12235,2023,2728,Neurology (clinical),1.483,1,85
12236,2023,2701,Medicine (miscellaneous),0.658,2,61
12236,2023,3504,Oral Surgery,0.658,1,75
12236,2023,3505,Orthodontics,0.658,1,77
12239,2023,2732,Orthopedics and Sports Medicine,0.886,1,78
12240,2023,2732,Orthopedics and Sports Medicine,0.531,2,52
12240,2023,2746,Surgery,0.531,2,63
12245,2023,2725,Infectious Diseases,0.305,3,31
12245,2023,3306,Health (social science),0.305,3,39
12246,2023,2205,Civil and Structural Engineering,1.349,1,89
12246,2023,2211,Mechanics of Materials,1.349,1,90
12246,2023,2215,Building and Construction,1.349,1,90
12247,2023,3301,Social Sciences (miscellaneous),0.484,2,70
12247,2023,3314,Anthropology,0.484,1,81
12249,2023,1202,History,0.476,1,95
12249,2023,1207,History and Philosophy of Science,0.476,1,84
12249,2023,3101,Physics and Astronomy (miscellaneous),0.476,2,59
12250,2023,2208,Electrical and Electronic Engineering,0.376,3,46
12250,2023,2504,"Electronic, Optical and Magnetic Materials",0.376,3,38
12250,2023,3104,Condensed Matter Physics,0.376,3,43
12250,2023,3107,"Atomic and Molecular Physics, and Optics",0.376,3,40
12252,2023,2701,Medicine (miscellaneous),0.981,1,79
12252,2023,2739,"Public Health, Environmental and Occupational Health",0.981,1,80
12255,2023,2746,Surgery,0.557,2,65
12256,2023,3308,Law,0.261,2,60
12257,2023,2701,Medicine (miscellaneous),0.965,1,78
12257,2023,2732,Orthopedics and Sports Medicine,0.965,1,80
12257,2023,2746,Surgery,0.965,1,86
12257,2023,3699,Sports Science,0.965,2,67
12259,2023,2701,Medicine (miscellaneous),1.009,1,80
12259,2023,2732,Orthopedics and Sports Medicine,1.009,1,81
12259,2023,2746,Surgery,1.009,1,87
12260,2023,2701,Medicine (miscellaneous),0.699,2,64
12260,2023,2732,Orthopedics and Sports Medicine,0.699,2,64
12260,2023,2735,"Pediatrics, Perinatology and Child Health",0.699,2,73
12261,2023,2732,Orthopedics and Sports Medicine,0.405,3,42
12261,2023,2735,"Pediatrics, Perinatology and Child Health",0.405,3,49
12262,2023,1708,Hardware and Architecture,0.4,3,36
12262,2023,1712,Software,0.4,3,35
12262,2023,2614,Theoretical Computer Science,0.4,3,27
12263,2023,2204,Biomedical Engineering,0.282,3,27
12263,2023,2732,Orthopedics and Sports Medicine,0.282,3,33
12263,2023,2742,Rehabilitation,0.282,3,40
12264,2023,1705,Computer Networks and Communications,1.946,1,91
12264,2023,1708,Hardware and Architecture,1.946,1,93
12264,2023,1712,Software,1.946,1,90
12268,2023,2210,Mechanical Engineering,0.14,4,8
12268,2023,2211,Mechanics of Materials,0.14,4,4
12268,2023,2505,Materials Chemistry,0.14,4,10
12268,2023,2506,Metals and Alloys,0.14,4,11
12272,2023,2701,Medicine (miscellaneous),0.808,2,72
12272,2023,2742,Rehabilitation,0.808,1,84
12272,2023,3612,"Physical Therapy, Sports Therapy and Rehabilitation",0.808,1,80
12272,2023,3699,Sports Science,0.808,2,58
12274,2023,2202,Aerospace Engineering,2.57,1,98
12274,2023,2210,Mechanical Engineering,2.57,1,97
12274,2023,2211,Mechanics of Materials,2.57,1,97
12277,2023,1402,Accounting,1.276,1,83
12277,2023,1802,Information Systems and Management,1.276,1,81
12277,2023,2003,Finance,1.276,1,83
12278,2023,2208,Electrical and Electronic Engineering,1.056,1,80
12278,2023,2503,Ceramics and Composites,1.056,1,82
12278,2023,2505,Materials Chemistry,1.056,1,84
12278,2023,2506,Metals and Alloys,1.056,1,89
12278,2023,3104,Condensed Matter Physics,1.056,1,86
12281,2023,3303,Development,0.106,4,2
12281,2023,3305,"Geography, Planning and Development",0.106,4,3
12282,2023,2308,"Management, Monitoring, Policy and Law",0.84,2,70
12282,2023,3301,Social Sciences (miscellaneous),0.84,1,87
12282,2023,3321,Public Administration,0.84,1,78
12282,2023,3323,Social Work,0.84,1,79
12283,2023,3301,Social Sciences (miscellaneous),0.51,2,71
12283,2023,3312,Sociology and Political Science,0.51,2,72
